Reg_no,OSA,CN
393CS22706,44,45
393CS22707,97,47
393CS22704,97,47
393CS22705,97,52
393CS22701,75,21
393CS21039,11,23
393CS21013,87,92
393CS21017,45,78
393CS21024,97,17
393CS21006,97,47
393CS21041,23,45
393CS21007,87,65
393CS21008,61,39
393CS21036,33,39
393CS21034,53,44
393CS21020,56,62
393CS21022,22,65
393CS21028,45,20
393CS21003,25,15
393CS21026,90,74
393CS21040,31,94
393CS21023,93,3
393CS21015,41,89
393CS21011,32,57
393CS21005,90,91
393CS21010,76,72
393CS21001,17,30
393CS21002,58,49
393CS21037,4,24
393CS21029,86,70
393CS21042,24,87
393CS21019,20,11
393CS21004,37,58
393CS21038,31,94
393CS21016,7,31
393CS21012,95,77
393CS21030,61,84
393CS21032,88,83
393CS21035,76,31
393CS21014,7,31
393CS21033,77,70
393CS21044,43,27
